number_courses,time_study,Marks
3,4.508,19.202
4,0.096,7.734
4,3.133,13.811
6,7.909,53.018
8,7.811,55.299
6,3.211,17.822
3,6.063,29.889
5,3.413,17.264
4,4.410,20.348
3,6.173,30.862
3,7.353,42.036
7,0.423,12.132
7,4.218,24.318
3,4.274,17.672
3,2.908,11.397
4,4.260,19.466
5,5.719,30.548
8,6.080,38.490
6,7.711,50.986
8,3.977,25.133
4,4.733,22.073
6,6.126,35.939
5,2.051,12.209
7,4.875,28.043
4,3.635,16.517
3,1.407,6.623
7,0.508,12.647
8,4.378,26.532
5,0.156,9.333
4,1.299,8.837
8,3.864,24.172
3,1.923,8.100
8,0.932,15.038
6,6.594,39.965
3,4.083,17.171
3,7.543,43.978
4,2.966,13.119
6,7.283,46.453
7,6.533,41.358
6,7.775,51.142
4,0.140,7.336
6,2.754,15.725
6,3.591,19.771
5,1.557,10.429
4,1.954,9.742
3,2.061,8.924
4,3.797,16.703
4,4.779,22.701
3,5.635,26.882
